"Carimbo de data/hora","Idade:","Você se considera de?","Qual  meio você mais  se  informa?","Qual é o seu trabalho/ocupação?
Marque onde você melhor se encaixa:","Você  vai votar em quem para presidência em 2022?"
"2022/09/23 10:43:35 PM GMT-3","18","Humanas","Instagram","Desempregado","Nulo"
"2022/09/23 10:46:04 PM GMT-3","17","Ambos","Instagram","Desempregado","Nulo"
"2022/09/23 10:46:39 PM GMT-3","17","Exatas","Youtube","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/23 11:00:26 PM GMT-3","20","Exatas","Instagram","Funcionário público","Simone Tebet (MDB)"
"2022/09/23 11:02:09 PM GMT-3","17","Nenhum","TV","Desempregado","Não vou votar"
"2022/09/24 12:47:05 AM GMT-3","22","Humanas","Twitter","Desempregado","Lula (PT)"
"2022/09/24 5:31:14 AM GMT-3","69","Nenhum","Youtube","Desempregado","Branco"
"2022/09/24 6:56:10 AM GMT-3","18","Exatas","Twitter","Iniciativa privada, como funcionário ou empresário.","Não vou votar"
"2022/09/24 8:08:37 AM GMT-3","17","Humanas","Youtube","Desempregado","Não vou votar"
"2022/09/24 8:15:05 AM GMT-3","21","Exatas","Instagram","Desempregado","Lula (PT)"
"2022/09/24 9:09:05 AM GMT-3","47","Nenhum","Sites de noticia(Metrópoles, O Globo etc..)","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/24 9:43:37 AM GMT-3","29","Humanas","Instagram","Iniciativa privada, como funcionário ou empresário.","Lula (PT)"
"2022/09/25 6:56:13 PM GMT-3","18","Ambos","Instagram","Funcionário público","Jair Bolsonaro (PL)"
"2022/09/25 9:37:51 PM GMT-3","18","Humanas","Sites de noticia(Metrópoles, O Globo etc..)","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/27 7:27:29 AM GMT-3","17","Humanas","Instagram","Desempregado","Jair Bolsonaro (PL)"
"2022/09/27 7:37:42 AM GMT-3","17","Ambos","Instagram","Desempregado","Não vou votar"
"2022/09/27 7:39:50 AM GMT-3","18","Humanas","Twitter","Desempregado","Lula (PT)"
"2022/09/27 7:50:32 AM GMT-3","17","Exatas","Instagram","Freelancer/Autônomo","Jair Bolsonaro (PL)"
"2022/09/27 7:52:27 AM GMT-3","17","Humanas","Outros","Desempregado","Não vou votar"
"2022/09/27 7:52:57 AM GMT-3","18","Humanas","Sites de noticia(Metrópoles, O Globo etc..)","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/27 8:15:54 AM GMT-3","18","Humanas","Instagram","Desempregado","Lula (PT)"
"2022/09/27 8:54:09 AM GMT-3","17","Nenhum","Instagram","Desempregado","Lula (PT)"
"2022/09/27 9:05:56 AM GMT-3","17","Exatas","Instagram","Freelancer/Autônomo","Jair Bolsonaro (PL)"
"2022/09/27 9:31:04 AM GMT-3","19","Ambos","Instagram","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/27 9:57:54 AM GMT-3","17","Humanas","Instagram","Iniciativa privada, como funcionário ou empresário.","Lula (PT)"
"2022/09/27 10:36:15 AM GMT-3","19","Ambos","Sites de noticia(Metrópoles, O Globo etc..)","Desempregado","Lula (PT)"
"2022/09/27 10:40:41 AM GMT-3","17","Humanas","Twitter","Desempregado","Lula (PT)"
"2022/09/27 10:59:23 AM GMT-3","17","Humanas","Sites de noticia(Metrópoles, O Globo etc..)","Desempregado","Lula (PT)"
"2022/09/27 11:18:27 AM GMT-3","17","Humanas","Instagram","Desempregado","Nulo"
"2022/09/27 11:56:55 AM GMT-3","18","Humanas","Youtube","Desempregado","Jair Bolsonaro (PL)"
"2022/09/27 12:00:47 PM GMT-3","19","Exatas","Instagram","Desempregado","Jair Bolsonaro (PL)"
"2022/09/27 12:30:05 PM GMT-3","17","Humanas","Instagram","Iniciativa privada, como funcionário ou empresário.","Jair Bolsonaro (PL)"
"2022/09/27 12:46:54 PM GMT-3","17 Anos","Exatas","Outros","Iniciativa privada, como funcionário ou empresário.","Não vou votar"
"2022/09/27 12:57:04 PM GMT-3","17","Humanas","Instagram","Desempregado","Lula (PT)"
"2022/09/27 5:24:33 PM GMT-3","17","Exatas","TV","Desempregado","Não vou votar"
"2022/09/27 8:14:25 PM GMT-3","17","Exatas","Instagram","Desempregado","Não vou votar"
"2022/09/27 9:14:52 PM GMT-3","16","Humanas","Instagram","Desempregado","Não vou votar"